abacı,asalak
küfretme,sövme
küfretmek,sövmek
küheylan,Enes
kuintet,beşli
kuka,Tespih
kukla,Bez
kükremek,bağırmak
kükürdümsü,kükürtsü
kükürt,Sülf
kükürtleme,sülfürleme
kükürtsü,kükürdümsü
kül,tüm
kula,Yele
külah,hile
külahımsı,külahsı
külahsı,külahımsı
kulaklı,kazan
kulaklık,Radyo
kulaktan,dinleyerek
kulampara,oğlancı
külçe,Külte
küldöken,eş
kule,cihannüma
külhan,cehennemlik
külhanbeyi,külhani
külhani,hayta
kullanılmamış,Bakir
kullanılması,Ruhsatlı
kullanılmaya,Özdek
kullanılmayan,Metrûk
kullanılmış,müstamel
kullanım,tasarruf
kullanışlı,ergonomik
kullanıvermek,kullanmak
kullanma,istimal
kullanmak,değerlendirmek
külli,tümel
külliyat,Tümeller
külliyen,tamamen
külliyet,tümlük
külot,don
kulp,bahane
külte,külçe
kültür,ekin
kulturlu,Bilgili
kulübü,Galatasaray
kuluçka,gurk
kuluçkahane,kuluçkalık
kulüp,pakt
külüstür,bakımsız
külyutmaz,Aldanmaz
kuma,ortak
kumanca,kıpçakça
kumanda,komuta
kumandan,komutan
kumanya,azık
kumarbaz,kumarcı
kumarcı,kumarbaz
kumarhane,bitirimhane
kumbara,humbara
kumbaracı,humbaracı
kumbarahane,humbarahane
kumbaşı,kumsal
kümbet,kubbe
küme,grup
kümelemek,biriktirmek
kümelenme,kümülasyon
kümelenmek,yığılmak
kümeleşim,aglütinasyon
kümeli,kümülatif
kumkuma,çömlek
kumlu,kumsal
kumluk,kumsal
kumpas,düzen
kumpir,patates
kumsal,plaj
kumul,eksibe
kümülasyon,kümelenme
kümülatif,kümeli
küncü,Susam
kundaklamak,aldatmak
kundaklı,Arbalet
künde,köstek
kündek,kakmacılık
kundura,Ayakkabı
kunduraci,Ayakkabıcı
kunduranın,Ayakkabı
kunduru,Sarı
künh,içyüz
künk,büz
küp,sarhoş
kupa,yürek
küpe,Hızma
küpeşte,parapet
kupkuru,net
küplü,ayyaş
kupür,kesik
kur,düzey
kurada,cılız
kurak,yıl
kuraklık,yağışsızlık
kural,Kaide
kuralcı,kaideci
kuraldışı,Şaziye
kuralı,Örnek
kuralın,Nizam
kurallar,Kavait
kuralları,Dadacılık
kurallı,kıyasi
kuralsız,kaidesiz
kuralsızlık,Anarşi
kuram,teori
kuramcı,teorisyen
kuramlar,Nazariyat
kurander,cereyan
kurbağalar,kuyruksuzlar
kurca,kaşıma
kurdela,Kurdele
kurdeşen,ürtiker
küre,dünya
küremek,kürümek
küresel,kürevi
küreselleşme,globalleşme
küreselleşmek,globalleşmek
küreselleştirme,Globalleştirme
kürevi,toparlak
kurgan,höyük
kurgu,spekülasyon
kurgucu,montajcı
kurgulama,montajlama
kurgulamak,montajlamak
kurgusal,spekülatif
kurk,Kuluçka
kurlağan,etyaran
kurma,prefabrik
kurmaca,kurgulanmış
kurmacı,konstrüktivist
kurmacılık,Konstrüktivizm
kurmay,erkânıharp
kurna,Hamamlarda
kurnaz,Açıkgöz
kurnazca,kurnazcasına
kurnazcasına,kurnazca
kurs,çörek
kursak,Boğaz
kürsü,bölüm
kurşunlamak,vurmak
kurşunsu,kurşunumsu
kurşunumsu,kurşunsu
kürtaj,kazıma
kurtaran,İdareci
kurtarıcı,halaskâr
kurtarımcı,irredantist
kurtarmak,Uzaklaştırmak
kurtlu,kurtlanmış
kurttırnağı,kurtpençesi
kurtulmak,doğurmak
kurtuluş,selamet
kürtün,palan
kuru,tekdüze
kurucu,müessis
kurul,asamble
kurulaşmak,muhtevasızlaşmak
kurulmak,kasılmak
kurultay,kongre
kurulu,oturmuş
kuruluş,kasılma
kuruluşlar,Bilsat
kuruluşu,Darülbedayi
kurum,Kuruluş
kurumak,sertleşmek
kurumamış,Yaş
kürümek,küremek
kurumlaşma,müesseseleşme
kurumlaşmak,müesseseleşmek
kurumlu,mağrur
kurun,Çağ
kuruntu,evham
kuruntucu,müvesvis
kuruntulu,mütevehhim
kurusıkı,korku
kurutan,Müceffif
kurutmak,zayıflatmak
kurutulmamış,Yaş
kuruyasıca,kötü
kurye,Çabar
kuş,Dargın
küşade,açılmış
kuşanmak,giyinmek
kuşatan,Muhasır
kuşatma,muhasara
küşayiş,ferahlık
kuşgana,Kap
kuşkirazi,Ilgıncar
kuşkucu,septik
kuşkulandırmak,şüphelendirmek
kuşkulanmak,şüphelenmek
kuşkular,Evham
küskün,muğber
küskünlük,küsü
kuskunsuz,derbeder
kuşkusuz,işkilsiz
küslük,dargınlık
kusma,istifra
küsme,Tarkınç
küsmenin,Darılmak
kusmuk,kusuntu
küşne,karaburçak
kuşpalazı,difteri
küstah,Terbiyesiz
küstahça,saygısız
küstere,köstere
küsü,küskünlük
küşüm,kuşku
küşümlenmek,kaygılanmak
kusuntu,kusmuk
küsurat,kesirler
kusursuz,mükemmel
kusurü,Şaibeli
küt,smaç
kutay,İpek
kutlama,tebrik
kütle,kitle
kütlesi,Masif
kutlu,uğurlu
kutlulamak,kutlamak
kütör,smaçör
kutsal,mukaddes
kutsallaştırma,kutsama
kutsallaştırmak,kutsamak
kutsallık,Kutsiyet
kutsama,takdis
kutsanmış,Tabu
kutsi,kutsal
kutsiyet,kutsallık
kutsuz,menhus
kutun,Koçan
kütüphaneci,bibliyotekçi
kutuplanma,polarizasyon
kutur,köşegen
kuvertür,örtü
kuveyt,Dinar
kuvöz,yaşanak
kuvve,yeti
kuvvetle,direnerek
kuvvetlenmek,Güçlenmek
kuvvetli,Güçlü
kuvvetlice,kuvvetli
kuvvetölçer,dinamometre
kuvvetsiz,güçsüz
kuyruklu,akrep
kuyruklular,urodel
kuyruksuzlar,kurbağalar
kuyumcu,cevahirci
kuzay,Kuzey
kuzen,böle
kuzey,yıldız
kuzeybatı,Kb
kuzeyli,şimalli
kuzguni,kara
kuzin,böle
kuzıne,Mutfak
küzum,Okşamalık
la,Gam
labada,Efelek
labaratuar,Laboratuvar
labaratuvar,Laboratuvar
labirent,sorun
laboratuar,Laboratuvar
lacerem,elbette
laçin,Doğan
laçkalaşmak,bozulmak
laden,rastık
laedri,anonim
laedriye,bilinemezcilik
laf,konuşma
lafazan,Geveze
lafçı,geveze
lafın,Söz
lafzen,Söylenişine
lagar,çelimsiz
lağım,geriz
lağvedilmek,feshedilmek
lağvolmak,dağıtılmak
lağvolunmak,lağvedilmek
lahika,ek
lahit,Mezar
lahsa,Salyane
lahuraki,lahuri
lahuri,lahuraki
lahut,kutsal
lahuti,ilahî
lahza,an
lahzada,çabucak
lain,melun
laisizm,laiklik
lak,Laka
laka,lak
lakacı,lakçı
lakaplı,Mülakkab
lakaydi,ilgisizlik
lakayıt,kayıtsız
lakaytlık,Lakayıtlık
lakin,ama
lakırtı,laf
lakırtıcı,konuşkan
lakonik,veciz
lal,Dilsiz
lalettayin,gelişigüzel
lalüebkem,dilsiz
lam,Dar
lama,Deve
lamaist,lamacı
lamaizm,lamacılık
lamek,mekânsız
lamelif,çarpık
lamise,dokunum
lan,Ulan
lanet,beddua
lanetleme,lanetlenmiş
lanetli,melun
lanse,önceleme
lansman,tanıtım
lantan,La
lapçın,edik
lapon,laponyalı
laponyalı,lapon
larp,ansızın
larpadak,ansızın
larva,kurtçuk
laşe,leş
laso,kement
lastik,korse
lastikli,konuşma
latifçe,hoş
latife,şaka
latifeci,şakacı
latilokum,lokum
laubali,teklifsiz
laubaliyane,saygısızca
lav,püskürtü
lavabo,tuvalet
lavta,ebe
layemut,ölmez
layenkati,aralıksız
layiha,tasarı
layık,yaraşan
layıkıyla,gereğince
lazer,Laser
lazım,gerekli
lazıme,gerekçe
lazımlık,ördek
lazut,mısır
le,okunuşu
lebalep,silme
lebdeğmez,dudakdeğmez
leçe,Leçelik
leçek,Yaşmak
lef,iliştirme
legal,yasal
leğen,havsala
lehçe,diyalekt
lehtar,taraftar
lejant,Ertegi
lejitimist,meşrutiyetçi
leke,şaibe
lekecilik,Taşizm
lekeli,lekelenmiş
lekesiz,tertemiz
lektör,okutman
lema,Madde
lenf,lenfa
lenfa,lenf
leninci,leninist
leninist,leninci
leninizm,lenincilik
lens,mercek
lento,boyunduruk
leopar,pars
lepra,cüzzam
lerzan,titrek
lerze,titreyiş
leşker,ordu
letafet,incelik
letçe,letonca
letonca,letçe
levazım,Gereçler
levazımat,Gerekenler
levent,uzun
levha,tabela
leyla,Gececi
leylak,Eflatun
leyli,yatılı
lezbiyen,sevici
lezbiyenizm,sevicilik
leziz,lezzetli
lezzet,haz
lezzetsiz,tatsız
li,Lityum
libas,giysi
liberal,hoşgörülü
liberalizm,erkincilik
liberasyon,serbestlik
libido,Sevgeç
lider,Önder
liderlik,önderlik
liet,Şarkı
lif,tel
lifler,Elyaf
lığ,alüvyon
likidasyon,tasfiye
likidite,akışkanlık
limanlamak,sakinleşmek
limanlık,hava
lime,parça
limit,sınır
limitet,sınırlı
limitsiz,Sınırsız
limonata,Su
limonsu,limonumsu
limonumsu,limonsu
linç,Taş
linet,ishal
link,ilişim
linolyum,muşamba
liparit,riyolit
lira,teklik
lirik,Coşkun
lisan,Dil
lise,ortaöğretim
liste,dizelge
listelemek,Dizelgelemek
litografya,resim
liturya,kudas
liva,sancak
liyakatli,değimli
liyakatsiz,değimsiz
lizol,Krezol
lobi,dalan
lobici,dalancı
lobut,Kalın
loca,Tiyatro
loda,demet
loder,Yükler
loğ,Yollarda
logaritma,Bölmeleri
loğlamak,sıkıştırmak
logo,imlek
logos,deyi
lohusa,Bulunamadı
lök,lökün
lokalize,belirlenmiş
lokanta,aşçı
lokasyon,Yer
lokma,sokum
lokmanruhu,Eter
lökosit,akyuvar
lokum,latilokum
lökün,Lök
lololo,lolo
lonca,korporasyon
lord,Efendi
lorke,Siirt
los,Karanlıkça
lr,Lawrencyum
lu,Lutetyum
lüknet,tutukluk
lüks,şatafatlı
lüksmetre,aydınlıkölçer
lümpen,sınıfsız
lünet,gözlük
lüp,Büyüteç
lüpçü,bedavacı
lütfeylemek,lütfetmek
luti,oğlancı
lütufk,kibar
lüzuci,yapışkan
lüzumlu,lazım
lüzumsuz,gereksiz
lüzumsuzluk,gereksizlik
m,engel
ma,Su
maada,gayrı
maalesef,maatteessüf
maalim,Belirtiler
maalmemnuniye,memnuniyetle
maarif,Eğitim
maaş,Aylık
maaşlı,aylıklı
maaşsız,aylıksız
maatteessüf,maalesef
mabet,tapınak
mabude,sevgili
maç,karşılaşma
maca,Pik
maceracı,maceraperest
maceralı,olağandışı
maceraperest,Serüvenci
macerasız,sıradan
macun,Bulunamadı
maçuna,Vinç
madam,madama
madama,madam
madara,sevimsiz
madde,özdek
maddeci,materyalist
maddesel,maddi
maddi,maddesel
maddiyet,maddilik
madem,mademki
mademki,madem
maden,eroin
madensel,metalik
madensi,metalsi
madensuyu,İçinde
mader,anne
maderşahi,anaerkil
madrabaz,hileci
madun,alt
maestro,besteci
mafevk,üst
mafsal,eklem
mağara,İn
mağaza,Satımevi
magazin,Depo
mağdur,kıygın
mağduriyet,mağdurluk
mağfiret,bağışlama
mağfur,bağışlanmış
mağlubiyet,Yenilgi
mağlup,Yenik
magma,Öbeksi
magmasal,magmatik
magmatik,magmasal
mağmum,gamlı
mağrib,batılı
mağrur,Kurumlu
mağrurane,mağrurca
mağrurca,mağrurane
mağrurcasına,mağrurca
mağşuş,karışık
mah,Ay
mahall,yerelleşmek
mahalle,Yer
mahallı,Yerel
maharet,ustalık
maharetsiz,beceriksiz
mahbes,cezaevi
mahcubane,mahcupça
mahcubiyet,utangaçlık
mahcup,utangaç
mahcupça,mahcubane
mahçupluk,Bozum
mahcur,kısıtlı
mahcuz,hacizli
mahdum,oğul
mahdut,sınırlanmış
mahfazalı,mahfuz
mahfi,saklanmış
mahfil,Mahfel
mahfuz,saklı
mahi,Mahveden
mahir,yetenekli
mahirane,becerikli
mahiye,aylık
mahiyet,esas
mahiyeti,Hakıkat
mahiyetini,Filolog
mahk,mahkûmcasına
mahkemeli,davalı
mahkükat,Kazılmış
mahluk,yaratık
mahlukat,yaratıklar
mahlut,karışım
mahmud,Övülmüş
mahmurlaşmak,Süzülmek
mahmut,Övülmüş
mahpus,hapishane
mahpushane,cezaevi
mahrama,makrama
mahrek,Yörünge
mahrem,sırdaş
mahremiyet,gizlilik
mahruk,Yakıt
mahrukat,yakıt
mahrum,Yoksun
mahrumiyet,yoksunluk
mahrumluk,yoksunluk
mahrut,koni
mahruti,konik
mahşer,kargaşa
mahsuben,Hesabına
mahsul,Ürün
mahsulat,ürünler
mahsuldar,verimli
mahsur,çevrilmiş
mahsus,özgü
mahsusen,özellikle
mahsustan,özellikle
mahut,Bilinen
mahv,Yıkım
mahvetme,Kahır
mahzar,huzuru
mahzuf,Eksiltili
mahzun,üzgün
mahzunane,mahzunca
mahzunca,mahzunane
mahzur,sakınca
mahzurlu,sakıncalı
mai,mavi
mail,eğik
maile,aklan
maişet,geçinme
maiyet,Tevabi
majör,önemli
mak,kötü
makam,yer
makara,bobin
makarnacı,italyan
makas,dirsek
makasçı,makastar
makaslama,çaprazlama
makaslamak,kesmek
makaslanmak,kesilmek
makastar,makasçı
makber,metfen
makbul,geçerli
makbuz,alındı
makedon,makedonyalı
makedonya,Balkanlar
makedonyalı,makedon
maket,Örnek
makina,Makine
makine,otomobil
makineleşmek,Davranışları
makrama,mahrama
maksadıyla,İçin
maksi,Uzun
maksimal,maksimum
maksimum,azami
maksut,amaçlanan
makta,kesit
maktu,kesik
maktul,öldürülen
makul,elverişli
makule,çeşit
makyajcı,düzgüncü
makyavelci,makyavelist
makyavelist,makyavelci
makyavelizm,makyavelcilik
mal,Meta
malaklamak,yavrulamak
malarya,sıtma
malayani,saçma
malaz,Sürülmemiş
malen,malca
malgama,amalgam
mali,parasal
malihülya,kuruntu
malik,yurtluk
malikane,Yurtluk
maliki,Sünnilik
maliyetli,değerli
maliyetsiz,değersiz
malkar,balkar
mallanmak,zenginleşmek
malların,Ulaştırma
maltalı,maltız
maltız,maltalı
malul,Sakat
malulen,Sakat
maluliyet,sakatlık
malumat,bilgi
malumatlı,bilgili
malumatsız,bilgisiz
malumattar,bilgili
malzeme,gereç
mama,abla
mamuk,Pamuk
mamul,yiyecek
mamur,bayındır
mamure,bayındırlık
man,Dair
mana,Anlam
manaca,anlamca
manalı,anlamlı
manastır,keşişhane
manca,yiyecek
manda,Camus
mandacı,mandater
mandal,evlek
mandallı,pencere
mandalsız,pencere
mandater,mandacı
mandepsi,oyun
maneviyat,moral
manevra,tatbikat
mangal,korluk
mangan,manganez
mangır,para
mangiz,para
mani,Engel
mania,Engel
manialı,Engelli
manidar,anlamlı
manifaturacı,bezzaz
manifesto,bildiri
manihaizm,manicilik
manik,Köpek
maniple,manipülatör
manipülasyon,yönlendirme
manipülatör,maniple
manita,sevgili
manivela,kaldıraç
mankafa,aptal
manken,model
manometre,basıölçer
manşet,kolluk
mansiyon,Anmalık
mantalite,anlayış
mantar,yalan
mantarcı,düzenbaz
manti,İç
mantıkça,mantıken
mantıken,mantıkça
mantıki,mantıklı
mantıklı,lojik
mantıksal,mantıklı
mantıksız,Mantığa
mantıkta,İkilem
mantinota,metres
manzum,muntazam
manzume,şiir
mapus,mahpus
mapushane,cezaevi
maraba,çiftçi
marabut,murabıt
maral,Meral
marangoz,Neccar
maraton,Yarışı
maraz,Hastalık
maraza,hastalık
marazi,hastalıklı
marazlı,hasta
mareşal,müşir
marifet,uzmanlık
marifetiyle,aracılığıyla
marifetli,hünerli
mariz,Hastalıklı
marj,pay
marjin,Fark
marjinal,aykırı
marjinalleşme,aykırılaşma
marjinalleşmek,aykırılaşmak
mark,markka
markaj,tutma
markajcı,gölgeleyici
marke,belirtilmiş
marketing,Pazarlama
markiz,Alçak
markka,mark
marksçı,marksist
marksist,marksçı
marksizm,marksçılık
marmelat,Reçel
mars,merih
mart,İlkbahar
martaval,palavra
martavalcı,palavracı
maruf,buyrulan
maruz,verilen
maruzat,sunuş
masaj,ovuşturma
masajcı,masör
masalımsı,masalsı
masalsı,masalımsı
masarif,masraflar
maşer,toplumsal
maşeri,Toplumsal
maskara,hoş
maskaralık,Soytarılık
maske,davranış
maskelenmek,gizlemek
maskeli,maskelenmiş
maskot,uğurluk
maskulen,erkeksi
maslahat,mesele
maslahatgüzar,işgüder
masmavi,gömgök
masnu,sahte
mason,farmason
masöz,Ovucu
masraf,gider
masraflı,Pahalı
maşrık,doğu
masruf,harcanmış
massetme,soğurma
mastara,iletki
mastor,mastur
mastur,mastor
masumane,masumca
masumca,masumane
masumcasına,masumca
masumiyet,masumluk
masumluk,Masumiyet
masun,korunmuş
masuniyet,dokunulmazlık
mat,donuk
matador,Toreador
matah,Mal
matara,Kırba
matba,Matbaa
matbaa,basımevi
matbua,basma
matbuat,basın
matem,Yas
matematikçi,matematisyen
matematiksel,riyazi
matemli,yaslı
materyal,gereç
materyalist,maddeci
materyalizm,maddecilik
matin,Donuk
matiz,Habbe
matriarkal,anaerkil
matriks,Kemik
matris,dizey
matrut,çıkarılmış
matuf,yöneltilmiş
matuh,bunak
maval,Yalan
mavera,öte
mavimsi,mavimtırak
mavimtırak,mavimsi
mavra,palavra
mavracı,geveze
maya,ferment
mayalanma,fermantasyon
mayasıl,basur
maydonoz,Maydanoz
mayhoş,Ekşimsi
mayi,sıvı
mayin,Dedektör
maymun,primat
maymunlar,primatlar
mazarrat,zarar
mazbata,tutanak
mazbut,beğenilen
mazeret,özür
mazeretli,mazur
mazgal,Ahırdan
mazi,Geçmiş
mazmun,kavram
maznun,sanık
mazoşist,özezer
mazoşizm,özezerlik
mazot,motorin
mazotlamak,yıkamak
mazruf,içerik
mazrup,Çarpan
mazur,mazeretli
mazuryum,teknetyum
me,Koyun
mealen,anlamca
mebde,ilke
mebiz,yumurtalık
meblağ,Tutar
mebüs,Milletvekili
mebzul,çok
mebzuliyet,bolluk
meç,Kısa
mecalsiz,takatsiz
mecaz,metafor
mecbur,tutkun
mecburi,zorunlu
mecburiyet,zorunluluk
meccanen,bedava
meccani,bedava
mecelle,kitap
meçhulat,meçhuller
meçhuller,Meçhulât
meclis,şûra
meclup,tutkun
mecma,Yığınak
mecmu,hep
mecmua,dergi
mecnun,deli
mecnunane,mecnunca
mecnunca,mecnuncasına
mecnuncasına,mecnunca
mecra,yatak
mecruh,yaralı
meczup,deli
medar,yardımcı
medarımaişet,iş
medcezir,gelgit
meddah,Öven
medek,Malak
medenileşme,uygarlaşma
medenileşmek,uygarlaşmak
medenilik,uygarlık
medeniyet,Uygarlık
medeniyetin,Uygarlık
medeniyetsiz,uygarlaşmamış
meder,Köy;Mahalle
medh,Övgü
medikal,sağaltan
meditasyon,dalınç
medrese,fakülte
medüz,denizanası
medyun,borçlu
mefahir,övünceler
mefhum,kavram
mefk,ideal
mefluç,felçli
mefret,muazzam
mefruş,döşeli
mefruşat,döşeme
mefruşatçı,döşemeci
mefsuh,bozulmuş
meftun,vurulmuş
meftuniyet,meftunluk
megafon,Sesbüyütür
megakent,büyükşehir
meğer,oysaki
meğerse,meğer
mehabet,yücelik
mehabetli,yüce
mehaz,Kaynak
mehil,önel
mehteran,mehterler
mehterhane,hapishane
mek,yurt
mekanikçilik,Mekanizm
mekanizm,mekanikçilik
mekanizma,düzenek
mekkare,Deve
meknuz,saklı
mekruh,tiksindirici
meksefe,kondansatör
mektep,Okul
mektepli,öğrenci
melaike,melekler
melal,Usanç
melamet,ayıplama
melankoli,hüzün
melce,barınak
melek,Ferişte
meleke,alışkanlık
melez,metis
melezleme,Çaprazlama
melezleşme,hibritleşme
melezleşmek,hibritleşmek
melfuf,eklenmiş
melhem,Merhem
melhuz,düşünülen
meliha,Şeliha
melik,hakan
melike,Kraliçe
melodi,Ezgi
melodik,ezgili
meltem,Briz
melul,üzgün
melun,lanetli
memalik,Memleketler
memat,ölüm
memati,Ölüm
memba,pınar
meme,emcik
memişhane,tuvalet
memleha,tuzla
memleketli,hemşehri
memnu,yasak
memnun,mutlu
memnuniyet,sevinme
memnuniyetle,kıvançla
memorandum,muhtıra
memul,düşünülen
memur,görevli
memurin,memurlar
memuriyet,memurluk
memurlar,Memurin
memurluk,memuriyet
menafi,faydalar
menajer,yönetici
mendebur,iğrenç
mendil,yağlık
menemen,Yumurta
meneviş,hare
menevişlenmek,harelenmek
menfaat,çıkar
menfaatçi,çıkarcı
menfaatperest,çıkarcı
menfaatperver,çıkarcı
menfaattar,çıkarcı
menfez,açma
menfi,olumsuz
menfur,tiksindirici
mengene,pres
menhus,uğursuz
meni,sperma
menkıbe,Destan
menkıbevi,efsanevi
menolunmak,yasaklanmak
menşe,sebep
menşei,Kaynağı
menşeli,kökenli
mensubiyet,ilgililik
mensucat,dokumalar
menşur,prizma
menteşe,reze
mentor,yönder
menus,alışık
menzil,konak
mera,Otlak
merak,heves
meraklandırmak,tasalandırmak
meraklanmak,tasalanmak
meraklı,kaygılı
meraksız,aldırışsız
meral,Maral
meram,maksat
meraret,acılık
merasimsiz,törensiz
merbut,bağlanmış
merbutiyet,bağlılık
merdikıpti,çingene
merdümgiriz,mizantrop
meret,Uğursuz
mergup,beğenilen
merhaba,Selam
merhale,aşama
merhamet,acıma
merhametin,Acıma
merhametsiz,kalpsiz
merhametsizce,merhametsizcesine
merhametsizcesine,merhametsizce
merhem,çare
merhum,rahmetlik
merhume,rahmetlik
meri,geçerli
meridyen,boylam
merih,mars
meriyet,yürürlük
merkep,Eşek
merkepçi,eşekçi
merkez,özek
merkezci,merkeziyetçi
merkeziyet,merkeziyetçilik
merkeziyetçi,üniter
merkezkaç,santrifüj
merkum,yazılmış
merkür,utarit
mermerimsi,mermersi
mermersi,mermerimsi
mermi,kurşun
mersiye,ağıt
mersiyehan,ağıtçı
mert,yiğit
mertebe,rütbe
meryemanakuşağı,gökkuşağı
merzeng,mercanköşk
mesa,Akşam
mesabe,rütbe
mesabesinde,hükmünde
mesafeli,Yırak
mesai,emek
mesail,sorunlar
meşakkat,güçlük
meşakkatli,sıkıntılı
meşakkatsiz,sıkıntısız
meşale,Ucunda
mesamat,gözenekler
mesame,gözenek
meşbu,dolu
mesel,atasözü
mesela,Örneğin
mesele,Sorun
meseleler,Mesail
meselenin,Sorun
meserret,sevinç
meşgale,uğraşı
meşgul,dolu
meşguliyet,uğraş
mesire,Yeri
meşk,övülmüş
mesken,Konuk
meskenet,beceriksizlik
meslekdaş,Meslektaş
mesleki,Mesleksel
mesleksel,mesleki
mesned,Barug
mesnetsiz,Dayanaksız
meşru,yasal
meşrubat,içecek
meşruhat,açıklamalar
meşruiyet,meşruluk
meşruluk,Meşruiyet
mesrur,sevinçli
meşrut,şartlı
meşrutiyetçi,lejitimist
mest,sarhoş
mestur,gizli
mesture,gizli
mesudane,mesutça
mesul,Sorumlu
mesuliyet,sorumluluk
mesuliyetin,Sorumluluk
mesuliyetli,sorumlu
mesuliyetsiz,sorumsuz
meşum,uğursuz
mesutça,mesudane
meşveret,danışma
met,kabarma
meta,sermaye
metabolik,Özüştürül
metabolizma,Meta
metafor,mecaz
metal,metal
metalik,madenî
metalsi,metaloit
metamorfizm,başkalaşım
metamorfoz,başkalaşma
metanet,sağlamlık
metanetli,metin
metanetsiz,dayanıksız
metastaz,yayılma
metatez,göçüşme
metazori,zorla
metelik,Para
meteliksiz,züğürt
metfen,makber
metfun,gömülü
methetmek,övmek
methiye,övgü
methüsena,ululama
metis,melez
metod,Yöntem
metodik,yöntemli
metot,yöntem
metotlu,yöntemli
metotsuz,yöntemsiz
metres,zamazingo
metrik,ölçümlü
metropoliten,Metro
metruk,kullanılmayan
metrukiyet,boşanma
meval,Efendiler
mevcudat,varlıklar
mevcudiyet,varoluş
mevcut,bulunan
mevdu,bırakılmış
mevhibe,ihsan
mevid,Vaad
mevize,vaaz
mevki,durum
mevkuf,vakfedilmiş
mevkufiyet,tutukluluk
mevkut,periyodik
mevkute,periyodik
mevla,malik
mevlana,Efendimiz
mevlüt,Mevlit
mevrut,gelmiş
mevsim,sezon
mevsimsel,mevsimlik
mevsuk,sağlam
mevt,ölüm
mevut,Vadolunmuş
mevzi,mahal
mevzii,yöresel
mevzilenmek,Konalgalanmak
mevzu,konu
mevzulu,konulu
mevzun,ölçülü
mevzusuz,konusuz
mey,şarap
meyan,orta
meydanda,aşikâr
meyhane,kabare
meyilli,eğik
meymenetli,uğurlu
meymenetsiz,uğursuz
meyus,karamsar
meyusiyet,umutsuzluk
meyva,Meyve
meyve,yemiş
meyveci,yemişçi
meyveli,yemişli
meyvelik,Yemişlik
meyyal,eğimli
meyyit,ölü
mezalim,kıyımlar
mezamir,düdükler
mezar,gömüt
mezaristan,mezarlık
mezat,Müzayede
mezbaha,kesimevi
mezbele,çöplük
meze,alay
mezellet,bayağılaşma
meziyet,Nitelik
mezk,zikrolunan
mezoterm,ılıkçıl
mezra,ekenek
mezru,ekili
mezun,yetkili
mezuniyet,yetki
mezür,mezura
mezura,mezür
mğ,Manganez
mıcır,mucur
miço,muço
midi,orta
miftah,anahtar
miğfer,tolga
mıh,çivi
mıhlamak,çivilemek
mıhlanmak,çivilenmek
mıhlı,sabit
mihman,konuk
mihmandar,konukçu
mihnet,sıkıntı
mihnetli,eziyetli
mihnetsiz,eziyetsiz
mihrace,Raca
mihrak,odak
mihrap,Cami
mıhsıçtı,cimri
mihver,eksen
mikap,Küp
mıknatısi,manyetik
mıknatısiyet,mıknatıslık
mikrobik,mikroplu
mikrofon,Sesbüyütür
mikrometre,mikron
mikron,mikrometre
mikrop,Çürümeye
mikroplanmak,kirlenmek
mikroplu,intani
mikroskop,Objektif
mikser,çırpıcı
miktar,ölçü
mikyas,ölçü
mil,Balçık
milel,uluslar
milenyum,binyıl
milim,milimetre
milimetre,milim
militan,Vuruşkan
mill,ulusal
milletler,Milel
milletlerarası,uluslararası
milletlerarasıcı,uluslararasıcı
milletleri,Tarih
milletvekili,vekil
milletvekilliği,mebusluk
millı,Ulusal
millileştirme,Ulusallaştırma
millileştirmek,Ulusallaştırmak
milliyet,ulusallık
milliyetçi,ulusalcı
milliyetperver,ulussever
milliyetsever,milliyetçi
milyar,1.000.000.000
milyon,1.000.000
mimar,Örekmen
mimari,mimarlık
mimarlık,mimari
mimlemek,Birini
mimlenmiş,Mimli
mimli,mimlenmiş
minare,Alem
mıncıklamak,sıkıştırmak
mini,Küçük
minicik,ufacık
minik,Küçük
minimal,minimum
minimini,küçücük
minimum,minimal
mink,vizon
minkale,iletki
minnacık,minimini
minnet,müdana
minnettarane,minnettarca
minnettarca,minnettarane
mintan,Gömlek
mıntıka,Bölge
minyatür,Işık
miralay,albay
miras,tereke
mirasçı,kalıtçı
mirasçılar,Verese
mirasyedi,Yiter
mirat,ayna
mırlanmak,mırıldanmak
mirliva,tuğgeneral
mırmırık,mırıldanan
mis,Misk
misafir,Konuk
misafirhane,konukevi
misafirin,Konuk
misafirlik,Konukluk
misafirperver,konuksever
misafirperverlik,konukseverlik
misak,bağlaşma
mısdak,Ölçüt
misilsiz,benzersiz
misk,mis
mıskal,musikar
miskat,Neşter
misket,Bilye
miskin,zavallı
miskinane,miskince
miskince,miskinane
misli,Katı
mısra,Dize
mısranın,Dize
mistik,gizemci
mistisizm,gizemcilik
misyon,amaç
mit,mitos
mitekondri,Mitokondri
mitokondri,Mitekondri
mitolojik,Söylencebilimsel
mitos,mit
mitoz,karyokinez
miyane,Meyane
miyar,ayıraç
mizaçsız,keyifsiz
mizah,Gülmece
mizahımsı,mizahsı
mizahsı,mizahımsı
mizan,terazi
mizanpaj,sayfalama
mizansen,düzentileme
mizantrop,merdümgiriz
mızıka,bando
mızıkacı,bandocu
mızıkçı,oyunbozan
mızıldanma,sızıldanma
mızıldanmak,sızıldanmak
mızırdanma,sızıldanma
mızırdanmak,sızıldanmak
mızrak,cıda
